27
21
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1
1,4,1,1,1,4,1,1,1,4,1,4,1,1,1,4,1,1,1,4,1
1,5,1,1,1,4,1,1,1,4,1,4,1,1,1,4,1,1,1,5,1
1,4,1,1,1,4,1,1,1,4,1,4,1,1,1,4,1,1,1,4,1
1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
1,4,1,1,1,4,1,4,1,1,1,1,1,4,1,4,1,1,1,4,1
1,4,1,1,1,4,1,4,1,1,1,1,1,4,1,4,1,1,1,4,1
1,4,4,4,4,4,1,4,4,4,1,4,4,4,1,4,4,4,4,4,1
1,1,1,1,1,4,1,1,1,0,1,0,1,1,1,4,1,1,1,1,1
1,1,1,1,1,4,1,0,0,0,0,0,0,0,1,4,1,1,1,1,1
1,1,1,1,1,4,1,0,1,1,2,1,1,0,1,4,1,1,1,1,1
1,1,1,1,1,4,1,0,1,0,7,0,1,0,1,4,1,1,1,1,1
3,0,0,0,0,4,0,0,1,8,9,10,1,0,0,4,0,0,0,0,3
1,1,1,1,1,4,1,0,1,1,1,1,1,0,1,4,1,1,1,1,1
1,1,1,1,1,4,1,0,0,0,0,0,0,0,1,4,1,1,1,1,1
1,1,1,1,1,4,1,0,1,1,1,1,1,0,1,4,1,1,1,1,1
1,1,1,1,1,4,1,4,1,1,1,1,1,4,1,4,1,1,1,1,1
1,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1
1,4,1,1,1,4,1,1,1,4,1,4,1,1,1,4,1,1,1,4,1
1,5,4,4,1,4,4,4,4,4,6,4,4,4,4,4,1,4,4,5,1
1,1,1,4,1,4,1,4,1,1,1,1,1,4,1,4,1,4,1,1,1
1,1,1,4,1,4,1,4,1,1,1,1,1,4,1,4,1,4,1,1,1
1,4,4,4,4,4,1,4,4,4,1,4,4,4,1,4,4,4,4,4,1
1,4,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,4,1
1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
